_id,ID,SCH_NAME,ADDRESS,CITY,POSTAL_CODE,MET_PANEL_ID,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,MUNICIPALITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,OBJECTID,geometry
467,467,Brookmill Boulevard Junior Public School,25 Brookmill Boulevard,Agincourt,M1W 2L5,E,6242368,25,Brookmill Blvd,25 Brookmill Blvd,Scarborough,Brookmill Boulevard Junior Public School,115001,6242369,25,None,,None,7452,467,"{""coordinates"": [[-79.3148680045935, 43.80122038284]], ""type"": ""MultiPoint""}"
468,468,Charles Gordon Senior Public School,25 Marcos Boulevard,Scarborough,M1K 5A7,E,6436438,25,Marcos Blvd,25 Marcos Blvd,Scarborough,Charles Gordon Public School,115001,110208,25,None,,None,8421,468,"{""coordinates"": [[-79.2605263117434, 43.7462850480666]], ""type"": ""MultiPoint""}"
469,469,Iroquois Junior Public School,265 Chartland Boulevard South,Agincourt,M1S 2S6,E,318894,265,Chartland Blvd S,265 Chartland Blvd S,Scarborough,Iroquois Public School,115001,104797,265,None,,None,7566,469,"{""coordinates"": [[-79.2694408055289, 43.8026801566349]], ""type"": ""MultiPoint""}"
470,470,Gosford Public School,30 Gosford Boulevard,North York,M3N 2G8,E,11267530,30,Gosford Blvd,30 Gosford Blvd,North York,Gosford Public School,115001,11267531,30,None,,None,5724,470,"{""coordinates"": [[-79.5213241884271, 43.7643184871585]], ""type"": ""MultiPoint""}"
471,471,Shaughnessy Public School,30 Shaughnessy Boulevard,North York,M2J 1H5,E,10538488,30,Shaughnessy Blvd,30 Shaughnessy Blvd,North York,Shaughnessy Public School,115001,10538470,30,None,,None,6691,471,"{""coordinates"": [[-79.3516008694888, 43.7702840439533]], ""type"": ""MultiPoint""}"
472,472,Twentieth Street Junior School,3190 Lake Shore Boulevard West,Etobicoke,M8V 1L8,E,6735913,3190,Lake Shore Blvd W,3190 Lake Shore Blvd W,Etobicoke,Twentieth Street Junior Public School,115001,6735911,3190,None,,None,1962,472,"{""coordinates"": [[-79.5199382429952, 43.5979771530563]], ""type"": ""MultiPoint""}"
473,473,Lamberton Public School,33 Lamberton Boulevard,North York,M3J 1G6,E,534646,33,Lamberton Blvd,33 Lamberton Blvd,North York,Lamberton Public School,115001,440937,33,None,,None,5999,473,"{""coordinates"": [[-79.5028244891368, 43.7536543018276]], ""type"": ""MultiPoint""}"
474,474,Pauline Johnson Junior Public School,35 Dunmurray Boulevard,Agincourt,M1T 2K2,E,329105,35,Dunmurray Blvd,35 Dunmurray Blvd,Scarborough,Pauline Johnson Public School,115001,106690,35,None,,None,7788,474,"{""coordinates"": [[-79.3035712981415, 43.7851298582651]], ""type"": ""MultiPoint""}"
475,475,Percy Williams Junior Public School,35 White Heather Boulevard,Agincourt,M1V 1P6,E,397655,35,White Heather Blvd,35 White Heather Blvd,Scarborough,Percy Williams Public School,115001,103968,35,None,,None,9222,475,"{""coordinates"": [[-79.2656585281205, 43.8126668817723]], ""type"": ""MultiPoint""}"
476,476,Cherokee Public School,390 Cherokee Boulevard,North York,M2H 2W7,E,498606,390,Cherokee Blvd,390 Cherokee Blvd,North York,Cherokee Public School,115001,436481,390,None,,None,5182,476,"{""coordinates"": [[-79.338614744436, 43.7987627465793]], ""type"": ""MultiPoint""}"
477,477,Rockcliffe Middle School,400 Rockcliffe Boulevard,York,M6N 4R8,E,71840,400,Rockcliffe Blvd,400 Rockcliffe Blvd,York,Rockcliffe Middle School,115001,30007274,400,None,,None,847,477,"{""coordinates"": [[-79.4888938172078, 43.6738651424808]], ""type"": ""MultiPoint""}"
478,478,Cassandra Public School,45 Cassandra Boulevard,North York,M3A 1S5,E,497128,45,Cassandra Blvd,45 Cassandra Blvd,North York,Cassandra Public School,115001,30100005,45,None,,None,5139,478,"{""coordinates"": [[-79.3289014753509, 43.7484250053493]], ""type"": ""MultiPoint""}"
479,479,North Bridlewood Junior Public School,50 Collingsbrook Boulevard,Agincourt,M1W 1L7,E,321476,50,Collingsbrook Blvd,50 Collingsbrook Blvd,Scarborough,North Bridlewood Public School,115001,106384,50,None,,None,7625,479,"{""coordinates"": [[-79.3185870835038, 43.788916355463]], ""type"": ""MultiPoint""}"
480,480,Denlow Public School,50 Denlow Boulevard,North York,M3B 1P7,E,507023,50,Denlow Blvd,50 Denlow Blvd,North York,Denlow Public School,115001,441685,50,None,,None,5371,480,"{""coordinates"": [[-79.3642277250946, 43.7458394934387]], ""type"": ""MultiPoint""}"
481,481,Gateway Public School,55 Gateway Boulevard,North York,M3C 1B4,E,8929147,55,Gateway Blvd,55 Gateway Blvd,North York,Gateway Public School,115001,8929149,55,None,,None,5672,481,"{""coordinates"": [[-79.3310091533195, 43.7117262234356]], ""type"": ""MultiPoint""}"
482,482,Bridlewood Junior Public School,60 Bridlewood Boulevard,Agincourt,M1T 1P7,E,312084,60,Bridlewood Blvd,60 Bridlewood Blvd,Scarborough,Bridlewood Public School,115001,14198001,60,None,,None,7427,482,"{""coordinates"": [[-79.3150953883817, 43.7807962711677]], ""type"": ""MultiPoint""}"
483,483,Morrish Public School,61 Canmore Boulevard,Scarborough,M1C 3T7,E,20037846,61,Canmore Blvd,61 Canmore Blvd,Scarborough,Morrish Public School,115001,6444773,61,None,,None,9526,483,"{""coordinates"": [[-79.1792700314566, 43.7931879168947]], ""type"": ""MultiPoint""}"
484,484,Beverly Glen Junior Public School,85 Beverly Glen Boulevard,Agincourt,M1W 1W4,E,307817,85,Beverly Glen Blvd,85 Beverly Glen Blvd,Scarborough,Beverly Glen Junior Public School,115001,14229540,85,None,,None,7356,484,"{""coordinates"": [[-79.3230676298928, 43.7986530998679]], ""type"": ""MultiPoint""}"
485,485,Charlottetown Junior Public School,85 Charlottetown Boulevard,West Hill,M1C 2C7,E,318714,85,Charlottetown Blvd,85 Charlottetown Blvd,Scarborough,Charlottetown Junior Elementary School - Building Grounds,115001,106764,85,None,,None,7564,485,"{""coordinates"": [[-79.1422089559982, 43.7820702346732]], ""type"": ""MultiPoint""}"
