_id,Operating Name,Category,Issued,Licence Address Line 1,city_std,latitude,longitude
739,MAR-POL DRIVING SCHOOL,DRIVING SCHOOL OPERATOR (B),1991-02-19,2422 LAKE SHORE BLVD W,TORONTO,43.6144900728208,-79.4889186681285
752,BALEX CORP,DRIVING SCHOOL OPERATOR (B),2006-06-14,707 FENMAR DR,TORONTO,43.76435216319603,-79.56046106427748
759,ALL SAVE DRIVING SCHOOL,DRIVING SCHOOL OPERATOR (B),2006-08-18,2741 DUNDAS ST W,TORONTO,43.6650506091458,-79.4605904266331
760,CIVIC DRIVING SCHOOL,DRIVING SCHOOL OPERATOR (B),2006-08-22,470 ROGERS RD,TORONTO,43.68204263847157,-79.46668762391087
764,NEW DRIVERS DRIVING SHCOOL,DRIVING SCHOOL OPERATOR (B),2007-01-10,872 COLLEGE ST,TORONTO,43.65403079954243,-79.42438911891225
788,ALLELUIA DRIVING SCHOOL,DRIVING SCHOOL OPERATOR (B),2007-05-07,328 WILSON AVE,TORONTO,43.73675718036007,-79.43706927315921
792,GET SET DRIVING SCHOOL,DRIVING SCHOOL OPERATOR (B),2002-11-20,10 DELL PARK AVE,TORONTO,43.7176424313339,-79.4293945571047
806,ALL CLASS DRIVING SCHOOL,DRIVING SCHOOL OPERATOR (B),2004-12-16,1886 EGLINTON AVE W,TORONTO,43.6954000919464,-79.4516023272586
834,DRIVING 101 DRIVING SCHOOL,DRIVING SCHOOL OPERATOR (B),1991-03-19,3164 DUNDAS ST W,TORONTO,43.665529737298016,-79.47536780790182
837,BELL DRIVER EDUCATION,DRIVING SCHOOL OPERATOR (B),2005-01-19,686 WILSON AVE,TORONTO,43.73169779543135,-79.46210965898895
875,NEW DRIVERS DRIVING SHCOOL,DRIVING SCHOOL OPERATOR (B),2007-12-12,872 COLLEGE ST,TORONTO,43.65403079954243,-79.42438911891225
885,BRITO DRIVING SCHOOL,DRIVING SCHOOL OPERATOR (B),2007-06-05,1510 DUNDAS ST W,TORONTO,43.649687805880355,-79.43235739782331
920,ALL PRO DRIVING SCHOOL,DRIVING SCHOOL OPERATOR (B),2011-07-25,3509 LAKE SHORE BLVD W,TORONTO,43.59499940278455,-79.5313229382082
946,ETOBICOKE DRIVING SCHOOL,DRIVING SCHOOL OPERATOR (B),2004-02-24,5134 DUNDAS ST W,TORONTO,43.64400324681702,-79.53308911671476
967,IDEAL DRIVER TRAINING CENTRE,DRIVING SCHOOL OPERATOR (B),1989-10-16,1558 DUPONT ST,TORONTO,43.665372979709616,-79.45289215723622
992,ALL PRO DRIVING SCHOOL,DRIVING SCHOOL OPERATOR (B),2015-04-20,3509 LAKE SHORE BLVD W,TORONTO,43.59499940278455,-79.5313229382082
1013,UNIQUE DRIVERS OF CANADA,DRIVING SCHOOL OPERATOR (B),1999-05-12,1586 DUNDAS ST W,TORONTO,43.64983315053841,-79.43472863549968
1016,ALL PRO DRIVING SCHOOL,DRIVING SCHOOL OPERATOR (B),2016-07-20,3432 LAKE SHORE BLVD W,TORONTO,43.595534880450465,-79.52887293728416
1071,BRITO DRIVING SCHOOL,DRIVING SCHOOL OPERATOR (B),2016-02-22,1510 DUNDAS ST W,TORONTO,43.649687805880355,-79.43235739782331
1077,DENNIS DRIVING CENTRE,DRIVING SCHOOL OPERATOR (B),2000-05-04,1508 QUEEN ST W,TORONTO,43.6402595828853,-79.4382930074534
1142,GUIDE DRIVING SCHOOL,DRIVING SCHOOL OPERATOR (B),2006-12-20,1187 DUNDAS ST W,TORONTO,43.64936455701519,-79.42192922527866
1173,CARMELO DRIVING SCHOOL,DRIVING SCHOOL OPERATOR (B),2022-02-01,99 PRITCHARD AVE,TORONTO,43.66915721258688,-79.49389991848084
1186,STAR PLUS DRIVING SCHOOL,DRIVING SCHOOL OPERATOR (B),2022-06-23,11 MONTERREY DR,TORONTO,43.74239884151583,-79.56956038192733
1211,EASY DRIVING SCHOOL,DRIVING SCHOOL OPERATOR (B),1976-04-01,996 DUNDAS ST W,TORONTO,43.65037196112162,-79.41553093135911
1222,BEIRAS DRIVING SCHOOL LTD,DRIVING SCHOOL OPERATOR (B),2005-04-07,471 ROGERS RD,TORONTO,43.682075952496,-79.4665330572268
1232,BELL DRIVER EDUCATION,DRIVING SCHOOL OPERATOR (B),2010-08-18,686 WILSON AVE,TORONTO,43.73169779543135,-79.46210965898895
1268,BRITO DRIVING SCHOOL,DRIVING SCHOOL OPERATOR (B),2020-09-10,1510 DUNDAS ST W,TORONTO,43.649687805880355,-79.43235739782331
1309,GREEN STAR DRIVING SCHOOL,DRIVING SCHOOL OPERATOR (B),2023-02-27,47 WEST OAK CRES,TORONTO,43.70950359977445,-79.52944041254915
1337,KHAN DRIVING ACADEMY,DRIVING SCHOOL OPERATOR (B),2024-02-20,47 SUNBURST SQ,TORONTO,43.79559521719369,-79.2339564077765
1345,KABAYAN DRIVING SCHOOL,DRIVING SCHOOL OPERATOR (B),2024-04-15,3 EMBRO DR,TORONTO,43.74937936584343,-79.45686639680966
1377,MITRA DRIVING SCHOOL,DRIVING SCHOOL OPERATOR (B),2024-11-12,253 BOGERT AVE,TORONTO,43.75804530154515,-79.42287519188824
1399,ALBA DRIVING SCHOOL,DRIVING SCHOOL OPERATOR (B),2025-04-09,5 KNOWLAND DR,TORONTO,43.68166200879125,-79.51412000146365
1437,EXPRESS CAR RENTALS,DRIVE-SELF RENTAL OWNER,2002-05-13,1145 LAWRENCE AVE W,TORONTO,43.71152476301472,-79.4664162743392
1438,AVIS RENT A CAR,DRIVE-SELF RENTAL OWNER,2001-05-09,5481 DUNDAS ST W,TORONTO,43.63229168644594,-79.54438988352832
1442,,DRIVE-SELF RENTAL OWNER,2001-03-09,144 NORSEMAN ST,TORONTO,43.6342179527827,-79.5191315612786
1443,AVIS RENT A CAR,DRIVE-SELF RENTAL OWNER,2001-06-13,109 REXDALE BLVD,TORONTO,43.7122853184641,-79.5641861748778
1447,BUDGET RENT A CAR,DRIVE-SELF RENTAL OWNER,2002-01-01,2370 FINCH AVE W,TORONTO,43.75140229242808,-79.54554780277819
1453,BUDGET RENT A CAR,DRIVE-SELF RENTAL OWNER,2002-01-01,1100 FINCH AVE W,TORONTO,43.766976996567415,-79.47533274634586
1455,BUDGET RENT A CAR,DRIVE-SELF RENTAL OWNER,2002-01-01,180 DUNDAS ST W,TORONTO,43.65512286530255,-79.38655382206495
1473,BUDGET CAR RENTALS TORONTO,DRIVE-SELF RENTAL OWNER,2003-11-14,3021 LAKE SHORE BLVD W,TORONTO,43.6000303257523,-79.5086564233777
1476,BUDGET CAR RENTALS,DRIVE-SELF RENTAL OWNER,2002-01-01,1285 THE QUEENSWAY,TORONTO,43.62109190298805,-79.52612975688186
1477,BUDGET RENT A CAR,DRIVE-SELF RENTAL OWNER,2002-01-01,150 CUMBERLAND ST,TORONTO,43.66994356405442,-79.39273248822244
1481,BUDGET RENT A CAR,DRIVE-SELF RENTAL OWNER,2002-01-01,333 COLLEGE ST,TORONTO,43.6574700263799,-79.40257627960166
